	movie_id	user_id	sentiment	review
0	244	164	1	avant cette série , je ne connaissais que urgence et grey 's anatomy comme série médicale . si la première ne m'intéressait pas , j'étais accro à la seconde . mais quel choc en découvrant house ! la série traite un cas médical très intéressant par épisode , mais elle est surtout fantastique pour son personnage de house : on croit avoir serner le personnage , mais non , il réussit toujours à nous surprendre et il lance répliques cultes sur répliques cultes . je suis accroc à cette série , l'une des meilleurs du moment . vivement la saison 4 !
1	563	220	0	encore une série qui semble vouloir promouvoir le vide cérébral de ses spectateurs . sorte de santa barbara version ado , la série est creuse , dénuée d'un quelconque intérêt . elle semble condamnée à enchaîner les clichés et stéréotypes , les acteurs avec des tronches de premiers de la classe . le scénario est inexistant , la réalisation conformiste , rien qui puisse repousser le spectateur en manque de lessive pour laver son cerveau . la série vantant le mode de vie américain et assénant de la morale caricaturale aux spectateurs pour parfaire leur éducation de petits pauvres : le gentil pauvre très intelligent et vachement rebelle , les fils de riches prétentieux , les filles de riches du genre peste insupportable et égocentriques . et tout le monde il est beau et il est gentil , est tout est bien dans ce monde , le système marche et il n'y a pas besoin que l'état fédéral s'en mêle et tente de réparer les injustices , car au fond , seuls les plus forts ( et surtout les plus riches ) s'en sortent et c'est mieux pour tout le monde .
2	487	1169	0	stephen king doit bien ricaner en constatant cette navrante histoire de disparus , les scénaristes semblent s'être inspirés de ses oeuvres mais ont bien moins son talent que celui du business . quel perte de temps que de regarder ces personnages perdus au centre d'une histoire sans fin et sans intérêt , où 2 ou 3 épisodes suffisent pour décrocher , à l'inverse d'une série comme desperate housewives dont les dialogues , les scénarii et les personnages contribuent sans cesse à relancer l'intérêt et le plaisir au fil des épisodes . pourtant mes goûts initiaux m'auraient porté davantage du côté de la série fantastique . il ne faut préjuger de rien ! a bon entendeur ...
3	214	509	1	excellentissime ! une série à l'apparence toute calme et lisse , qui se révèle être un véritable noeud de problèmes , de secrets , de mensonges ... les actrices sont vraiment toutes très bonnes dans leurs rôles , avec une petite préférence pour bree , qui pète complètement un câble à la fin de la saison 2 !
4	547	34	1	avec spin city , c'est la sitcom qui me fait le plus rire . j'adore charlie sheen depuis `` hot shots ! '' et c'est une joie de le retrouver . les persos secondaires sont énormes , notamment bertha la femme de ménage . alan , le frère est assez délire ( je l'ai découvert en `` fausse couche '' le pilote bigleux dans `` hot shots ! '' . certains épisodes sont bons mais d'autres sont vraiment excellents dont le 1er de la s2 où l'on retrouve sean penn , harry dean stanton et elvis costello dans leurs prores rôles . j'attends avec impatience de pouvoir découvrir les saisons 3 & 4 .
5	563	221	0	newport beach est une série à découvrir d'urgence , cette série raconte les déboires de 4 amis et de leur entourage . dommage que les diffusions soient rares et que la france n'en soit qu'à la première saison . les personnages sont attachants , chacun avec sa personnalité bien à lui . la saison 2 est vraiment géniale est j'ai hâte de pouvoir voir la 3ème car la fin de la saison 2 nous laisse sans voix . si vous aimez les frères scott vous aimerez newport beach .
6	633	251	0	voir de pareilles évaluations me conforte dans l'idée de ne pas expliquer comment utiliser internet a ma grand mère ! ! les francais devrait arreter de tenter de faire des séries tv ! ! !
7	111	10	1	boston justice est très surprenante . l'une des meilleures séries d'avocats depuis ally mc beal ! les acteurs sont supers , le scénario est très bien trouvé . david e. kelley nous surprend encore une fois avec ses créations !
8	185	34	0	1 étoile pour les paysages ! ! cette série est vraiment très nulle ! ! le scénario est nul , les acteur sont nul ( surtt le gars ki fait `` pierre '' ) et les dialogues j'en parle mêm pas ! ! j'ai vu un seul épisode et ça me suffit largement ! ! ! ! en 3 mots : pourris pourris pourris ! !
9	633	287	0	quand je pense qu'il ya des séries géniales qui sont arrètées car fautes d'audiences ( séries us bien sur ) . et la on maintien ce truc pour une quatrième saison ... d'ailleurs la preuve que la série est nulle : a-t-elle rencontré le succès aux us ?
10	354	517	0	cette série est nul tout les médecins couche entre eux . il n'y a que du tout le monde couche avec tout le monde et rien d'autre . ce n'est pas la réalité et c'est ennuyeux . on c'est meme pas qui couche avec qui .
11	351	17	1	vu la qualité des séries françaises , il semblait apparement impossible de faire quelque chose de différent et de beau en france ... .et puis , greco est arrivé ! il y a peut-être des défauts , oui , mais quand on pense à navarro , joséphine ange gardien , ou louis la brocante , greco en devient un chef d'oeuvre , non ? ? ! ! ! on sent que les scénarios sont écrits , on ne prend pas les spectateurs pour des `` cons '' , la mise en scène est travaillée , là aussi ça nous change ! même si les américains font encore mieux , n'oublions pas qu'ils ont les moyens , et des chaînes ( hbo ) qui ont elles des couilles ( sex & the city , profit , six feet under , et dernièrement dexter , heroes ) alors , greco ressemble à haunted ... .et alors , pour une fois on a une série qui tient la route ... j'espère seulement qu'elle fera des petits ! ! !
12	11	141	0	les feux de l'amour est un chef d'oeuvre à côté tant par les dialogues que par les scénarios . attention , tu fumes une et une seule cigarette à 17 ans , tu vas pourrir en enfer . tu bois un seul verre d'alcool à 21 ans , tu es un alcoolique . dans les feux de l'amour au moins les personnages ne sont pas lisses . ici , tout le monde est beau , tout le monde est gentil . si vous avez des tendances suicidaires , ne regardez pas la série ! vous risquez de passer à l'acte .
13	327	611	0	une des pires séries que j'ai eu l'occasion de voir , les scénarii sont d'un plat , tellement prévisibles que c'en est affligeant , les dialogues sont surréalistes , de même que les actions , à 16 ans toutes les filles tombent enceintes , boivent , couchent avec tous le monde sans s'en souvenir le lendemain , sans parler des garçons , je ne sais pas combien de fois on nous répéte dans la série à quel point lucas est `` le bon garçon '' , il couche avec les filles sans protection et certaines fois sans les connaître , boit et se tatoue ... humm quel excellent exemple vraiment , la série de l'année .
14	487	146	1	impressionant tant cette série est captivante.lost c'est l'art de faire monter l'adrénaline d'un coup.de plus les acteurs sont vraiments bons.parfois on rigole aussi.bref une série incroyable qui tient en haleine !
15	214	312	1	cette serie est une drogue , apres avoir vu un ou deux épisodes comme ça sans trop d'interêt on veut absolument connaitre la suite afin de savoir pourquoi marie alice est morte . chaque épisode est incroyablement bien pensé et différent , tout les acteurs sont parfait dans leurs roles . attention de ne pas manquer d'épisodes sous peine d'etre perdu^^ je tire enfin mon chapeau a danny elfman qui nous offre encore un superbe thème musical dont on ne se lasse pas de l'écouter et de le réécouter .
16	654	5	1	profit , ou le destin d'un homme jim profit prêt à tout pour arriver jusqu'au sommet de la société gracen & gracen , symbole du capitalisme triomphant du milieu des années 90 ' . une satyre à la fois du monde capitaliste ( comme wall street pouvait l'être en son temps pour la finance ) et de l'avidité des hommes , jim profit est `` monstrueusement humain '' et l'on se se délecte de ses manoeuvres pour courcicuité l'un de ses associés , profit en est le narrateur de cette histoire , il nous met dans la confidence , nous sommes complice de ses actes . la psychologie du personnage est poussé loin et on est toujours `` admiratif '' des `` efforts '' que cette homme qui plus jeune dormait dans une boite en carton , maltraité par un père alcoolique a pu faire pour en arriver là . une a voire absolument !
17	222	296	1	sur ce que j'ai vu , dexter est clairement la meilleure nouvelle série de cette rentrée 2006. et pourtant , il est absolument impossible de s'identifier au héros , dexter morgan , sorte de tueur en série justicier ( ? ) , incapable de ressentir la moindre émotion ... son père adoptif lui a appris ce qui est bien et ce qui ne l'est pas et dexter s'en prend aux criminels que les flics n'ont pas réussi à coffrer . de quelle manière ? en les découpant ... c'est morbide , certes , mais complètement nouveau . au cours de la première saison , dexter mène un duel à distance hallucinant avec un autre tueur en série qui semble toujours avoir 1 ou 2 coups d'avance . visuellement , le show est très agréable à regarder , si on arrive à survivre au générique long de 103 secondes , très stylé mais qui devient assez vite saoûlant . la couleur et la musique sud américaine sentent bons la floride , et dans l'ensemble , le jeu des acteurs est excellent ( michael c. hall et david zayas au top , erik king assez moyen en revanche ) ... bon , faut pas que j'vous en dise trop , ça risquerait de gacher l'effet de surprise . enjoy !
18	563	176	1	j'adore cette serie . je ne peux plus m'en passer mais malheuresement je n'ai pas tf6 alors je suis obligé d'aller la regarder chez un ami . j'espere que france 2 va recommencer la diffusion
19	183	41	1	série originale et vraiment très amusante ! la fin m'a un peu déçu , mais sinon çà reste un grand souvenir série pour moi .
20	235	21	1	un peu réticent à l'idée d'un remake de la première série , je dois avouer que la série tient plutôt bien la route . après le premier épisode je suis rapidement devenu fan . de plus les performances des acteurs sont remarquables . une bonne reprise ...
21	488	1	1	excellente quoique trop courte , cette série ovni merite d'etre découverte sans tarder . tout les ingrédients qui font que cette serie soit une réussite sont réunis . j'espere sincerement qu'il y aura une saison 2 , car trop de questions restent en suspens ...
22	487	1254	0	originale ? non . l'histoire : des naufragés jouent a ko lantha sur une ile ou il se passe des choses etranges . c'est filmé comme du alias : sans style ( je regrette homicide ou oz qui étaient des series originale autant par les scénars , le traitement et la manière de filmer. ) . les personnages sont nuls : le docteur charismatique et heroique , la tête de mule au grand coeur , la fille gentille mais qui est poursuivie par la justice etc ... david lynch je t'en prie , reviens ! ! ! ! ! !
23	114	6	0	nul nul nul ! c'est vu et revu et la série manque totalement de profondeur , de charisme . le ton est surjoué au lieu d'être décalé , avec un vague rappel des deschiens en moins bien . ils croient se moquer du ringard , mais restent ringards à 100 % . je regrette que cette série soit diffusée tous les jours et j'attends avec impatience un renouveau de qualité ! please !
